,method,dimension,mean,std,opt,min
0,L-BFGS-B,12,0.008583372466667545,0.0015465577237539102,"[-500.          420.96882153  420.96879901  -25.8773736  -124.82952681
  420.96882005 -302.52485393 -302.5249613     5.23922398  420.96874493
  420.96876902  420.9688302 ]",-287.206668569707
0,Differential Evolution,13,3.678501398799987,0.8226282988058461,"[420.9686276  420.96884742 420.96887355 420.9687378  420.96861522
 420.96872339 420.9686198  420.96861563 420.96863232 420.96870407
 420.96884697 420.96895844 420.96857134]",-418.98288727057064
0,Simulated Annealing,13,1.729853874833346,0.28865797888842004,"[420.96877725 420.96880115 420.9686974  420.96873083 420.96872473
 420.96872597 420.96875006 420.96872552 420.96869769 420.96871102
 420.9687527  420.96872237 420.96878168]",-418.9828872723035
0,L-BFGS-B,13,0.01077051346665788,0.0031521016720628147,"[-124.82921955  420.9687868  -302.52493914  203.81411357  420.96880938
  420.9687066  -302.52490295 -302.52482334 -302.52480782  -25.87730579
  420.96873988 -124.82937247  420.96862415]",-289.9054747779706
0,Differential Evolution,14,4.537628544600011,0.7298525558867525,"[420.96879267 420.96886197 420.96882751 420.96875465 420.96878556
 420.96864166 420.96874213 420.96880277 420.96863233 420.96866206
 420.96886358 420.96868272 420.96849007 420.96865816]",-418.9828872710887
0,Simulated Annealing,14,2.001267047433339,0.5219766211071211,"[420.96872963 420.96886488 420.96878268 420.96862814 420.96883336
 420.96883697 420.96876329 420.96875449 420.96870712 420.96863247
 420.96877259 420.96888338 420.96866209 420.96883515]",-418.98288727158007
0,L-BFGS-B,14,0.009656613666644867,0.0018282483665023057,"[ 203.81456505 -500.          420.96887445  420.96883768  420.96898922
 -302.52500627  203.81457394  420.96900665 -302.52497498  420.96900084
 -302.52479844  203.81426708  -25.87722357 -302.52498388]",-293.3781728094574
0,Differential Evolution,15,5.661114773633328,1.1704024725480047,"[420.96862594 420.96866868 420.96886705 420.96879768 420.96878237
 420.96869084 420.96895508 420.96885642 420.96872181 420.96866248
 420.96873077 420.96870035 420.96866269 420.96877796 420.9687312 ]",-418.98288727145774
0,Simulated Annealing,15,2.0116852341333242,0.35801572899306117,"[420.96879243 420.96880936 420.96875626 420.96882313 420.96882794
 420.96881743 420.96874358 420.96871039 420.96876186 420.96856924
 420.96880475 420.96872299 420.96874645 420.96862243 420.96876969]",-418.98288727178965
0,L-BFGS-B,15,0.010224843266678363,0.0018325201149590796,"[ 203.81403213 -302.52512186 -124.82935823  420.96871648 -302.52500822
 -302.52518336  203.8140109   203.8141131   420.96860975 -302.52489217
 -500.          420.96859878 -302.52488564  420.96876493  420.96848325]",-300.4421456866352
0,Differential Evolution,16,7.22377214823332,1.671349231806135,"[420.96862449 420.96854212 420.96870488 420.968635   420.96871571
 420.96873766 420.96869426 420.96883769 420.96872113 420.96878219
 420.96867074 420.96874384 420.96858964 420.96875566 420.96858343
 420.96871217]",-418.9828872713078
0,Simulated Annealing,16,2.122749842033325,0.35053123183115265,"[420.96877623 420.96870512 420.96876868 420.96875214 420.96866986
 420.96879046 420.96879781 420.96864075 420.96861197 420.96877246
 420.96872619 420.96871318 420.96878435 420.96869941 420.96860214
 420.96864685]",-418.9828872718081
